Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
JUN 2017
","
JUN 2017
","

Show Price Chart

",2386.00,+2.75,2383.25,2382.00,2386.50,2381.25,"12,592",2502.00 / 2264.00,19:11:47 CT 03 May 2017
"
SEP 2017
","
SEP 2017
","

Show Price Chart

",2383.50,+2.75,2380.75,2380.00,2383.50,2378.75,76,2499.50 / 2261.50,19:08:50 CT 03 May 2017
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",2380.50,+2.00,2378.50,2378.50,2380.50,2378.50,3,2497.50 / 2259.50,18:47:47 CT 03 May 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",-,-,2376.50,-,-,-,0,2495.50 / 2257.50,19:08:59 CT 03 May 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",-,-,2377.50,-,-,-,0,2496.50 / 2258.50,18:57:48 CT 03 May 2017
